EAN,,
COLLECTION 2011/2012,,
HAVAIANAS BRASIL,,
EAN CODE,,
4000032 - SANDALIAS HAVAIANAS BRASIL,,
7000106 - HAVAIANAS BRASIL PREP CX FECHADA,,
7000206 - HAVAIANAS BRASIL PREP EXP CX GRADE,,
7005468 - HAVAIANAS BRASIL CX GRADE USA,,
7005481 - HAVAIANAS BRASIL CX FECHADA USA,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,EAN CODE
0001 - BRANCO / WHITE / BLANCO,334 / 3 / 35/36,7895265145282
0001 - BRANCO / WHITE / BLANCO,356 / 4/5 / 37/38,7895265145299
0001 - BRANCO / WHITE / BLANCO,378 / 6 / 39/40,7895265145305
0001 - BRANCO / WHITE / BLANCO,390 / 7/8 / 41/42,7895265145312
0001 - BRANCO / WHITE / BLANCO,412 / 9 / 43/44,7895265145329
0001 - BRANCO / WHITE / BLANCO,434 / 10/11 / 45/46,7895265145336
0001 - BRANCO / WHITE / BLANCO,456 / 12 / 47/48,7895265757799
0090 - PRETO / BLACK / NEGRO,334 / 3 / 35/36,7895265700320
0090 - PRETO / BLACK / NEGRO,356 / 4/5 / 37/38,7895265700337
0090 - PRETO / BLACK / NEGRO,378 / 6 / 39/40,7895265700344
0090 - PRETO / BLACK / NEGRO,390 / 7/8 / 41/42,7895265700351
0090 - PRETO / BLACK / NEGRO,412 / 9 / 43/44,7895265700368
0090 - PRETO / BLACK / NEGRO,434 / 10/11 / 45/46,7895265700375
0090 - PRETO / BLACK / NEGRO,456 / 12 / 47/48,7895265788915
0090 - PRETO / BLACK / NEGRO,478 / 13/14 / 49/40,7890732505729
0324 - CINZA / GREY / GRIS,334 / 3 / 35/36,7890557698545
0324 - CINZA / GREY / GRIS,356 / 4/5 / 37/38,7890557698552
0324 - CINZA / GREY / GRIS,378 / 6 / 39/40,7890557698569
0324 - CINZA / GREY / GRIS,390 / 7/8 / 41/42,7890557698576
0324 - CINZA / GREY / GRIS,412 / 9 / 43/44,7890557698583
0324 - CINZA / GREY / GRIS,434 / 10/11 / 45/46,7890557698590
0324 - CINZA / GREY / GRIS,456 / 12 / 47/48,7890557698606
0727 - CAFE / DARK BROWN / MARRON OSCURO,334 / 3 / 35/36,7890732429841
0727 - CAFE / DARK BROWN / MARRON OSCURO,356 / 4/5 / 37/38,7890732429858
0727 - CAFE / DARK BROWN / MARRON OSCURO,378 / 6 / 39/40,7890732429865
0727 - CAFE / DARK BROWN / MARRON OSCURO,390 / 7/8 / 41/42,7890732429872
0727 - CAFE / DARK BROWN / MARRON OSCURO,412 / 9 / 43/44,7890732429889
0727 - CAFE / DARK BROWN / MARRON OSCURO,434 / 10/11 / 45/46,7890732429896
0727 - CAFE / DARK BROWN / MARRON OSCURO,456 / 12 / 47/48,7890732429902
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,334 / 3 / 35/36,7891109262009
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,356 / 4/5 / 37/38,7891109262016
,,1/14
EAN,,
COLLECTION 2011/2012,,
HAVAIANAS BRASIL,,
EAN CODE,,
4000032 - SANDALIAS HAVAIANAS BRASIL,,
7000106 - HAVAIANAS BRASIL PREP CX FECHADA,,
7000206 - HAVAIANAS BRASIL PREP EXP CX GRADE,,
7005468 - HAVAIANAS BRASIL CX GRADE USA,,
7005481 - HAVAIANAS BRASIL CX FECHADA USA,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,EAN CODE
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,378 / 6 / 39/40,7891109262023
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,390 / 7/8 / 41/42,7891109262030
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,412 / 9 / 43/44,7891109262047
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,434 / 10/11 / 45/46,7891109262054
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,456 / 12 / 47/48,7891109262061
2619 - AMAZONIA / AMAZONIA / AMAZONIA,334 / 3 / 35/36,7891109262139
2619 - AMAZONIA / AMAZONIA / AMAZONIA,356 / 4/5 / 37/38,7891109262146
2619 - AMAZONIA / AMAZONIA / AMAZONIA,378 / 6 / 39/40,7891109262153
2619 - AMAZONIA / AMAZONIA / AMAZONIA,390 / 7/8 / 41/42,7891109262160
2619 - AMAZONIA / AMAZONIA / AMAZONIA,412 / 9 / 43/44,7891109262177
2619 - AMAZONIA / AMAZONIA / AMAZONIA,434 / 10/11 / 45/46,7891109262184
2619 - AMAZONIA / AMAZONIA / AMAZONIA,456 / 12 / 47/48,7891109262191
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,334 / 3 / 35/36,7890557699221
